code,mode,maturityDate,firstTadingDate,lastTadingDate,firstLiquidDate,distToLLtradingDays,lastLiquidDate,liquidityLevel,klineDataMode,klineDataLiquidityMode,klineDataFileBase,klineDataFileDateKey,klineDataFileDateKeyFormat
IF1005,"traded,liquid",5/21/2010,4/16/2010,5/21/2010,4/16/2010,0,5/17/2010,1,Docombine,LiquidityPlus1w,C:\StockPriceWebDownLoading\AlbertDataStation\trunk\HongHui\ExpandData\IF0000\5m\IF1005-20100416TickExpand300SKline.csv,20100416,yyyyMMdd
IF1006,"traded,liquid",6/18/2010,4/16/2010,6/18/2010,5/18/2010,3,6/14/2010,1,Docombine,LiquidityPlus1w,C:\StockPriceWebDownLoading\AlbertDataStation\trunk\HongHui\ExpandData\IF0000\5m\IF1006-20100416TickExpand300SKline.csv,20100416,yyyyMMdd
IF1007,"traded,liquid",7/16/2010,5/24/2010,7/16/2010,6/15/2010,3,7/12/2010,1,Docombine,LiquidityPlus1w,C:\StockPriceWebDownLoading\AlbertDataStation\trunk\HongHui\ExpandData\IF0000\5m\IF1007-20100416TickExpand300SKline.csv,20100416,yyyyMMdd
IF1008,"traded,liquid",8/20/2010,6/21/2010,8/20/2010,7/13/2010,3,8/16/2010,1,Docombine,LiquidityPlus1w,C:\StockPriceWebDownLoading\AlbertDataStation\trunk\HongHui\ExpandData\IF0000\5m\IF1008-20100416TickExpand300SKline.csv,20100416,yyyyMMdd
IF1009,"traded,liquid",9/17/2010,4/16/2010,9/17/2010,8/17/2010,3,9/13/2010,1,Docombine,LiquidityPlus1w,C:\StockPriceWebDownLoading\AlbertDataStation\trunk\HongHui\ExpandData\IF0000\5m\IF1009-20100416TickExpand300SKline.csv,20100416,yyyyMMdd
IF1010,"traded,liquid",10/15/2010,8/23/2010,10/15/2010,9/14/2010,3,10/11/2010,1,Docombine,LiquidityPlus1w,C:\StockPriceWebDownLoading\AlbertDataStation\trunk\HongHui\ExpandData\IF0000\5m\IF1010-20100416TickExpand300SKline.csv,20100416,yyyyMMdd
IF1011,"traded,liquid",11/19/2010,9/20/2010,11/19/2010,10/12/2010,3,11/15/2010,1,Docombine,LiquidityPlus1w,C:\StockPriceWebDownLoading\AlbertDataStation\trunk\HongHui\ExpandData\IF0000\5m\IF1011-20100416TickExpand300SKline.csv,20100416,yyyyMMdd
IF1012,"traded,liquid",12/17/2010,4/16/2010,12/17/2010,11/16/2010,3,12/13/2010,1,Docombine,LiquidityPlus1w,C:\StockPriceWebDownLoading\AlbertDataStation\trunk\HongHui\ExpandData\IF0000\5m\IF1012-20100416TickExpand300SKline.csv,20100416,yyyyMMdd
IF1101,"traded,liquid",1/21/2011,11/22/2010,1/21/2011,12/14/2010,3,1/17/2011,1,Docombine,LiquidityPlus1w,C:\StockPriceWebDownLoading\AlbertDataStation\trunk\HongHui\ExpandData\IF0000\5m\IF1101-20100416TickExpand300SKline.csv,20100416,yyyyMMdd
IF1102,"traded,liquid",2/18/2011,12/20/2010,2/18/2011,1/18/2011,3,2/14/2011,1,Docombine,LiquidityPlus1w,C:\StockPriceWebDownLoading\AlbertDataStation\trunk\HongHui\ExpandData\IF0000\5m\IF1102-20100416TickExpand300SKline.csv,20100416,yyyyMMdd
IF1103,"traded,liquid",3/18/2011,7/19/2010,3/18/2011,2/15/2011,3,3/14/2011,1,Docombine,LiquidityPlus1w,C:\StockPriceWebDownLoading\AlbertDataStation\trunk\HongHui\ExpandData\IF0000\5m\IF1103-20100416TickExpand300SKline.csv,20100416,yyyyMMdd
IF1104,"traded,liquid",4/15/2011,2/21/2011,4/15/2011,3/15/2011,3,4/11/2011,1,Docombine,LiquidityPlus1w,C:\StockPriceWebDownLoading\AlbertDataStation\trunk\HongHui\ExpandData\IF0000\5m\IF1104-20100416TickExpand300SKline.csv,20100416,yyyyMMdd
IF1105,"traded,liquid",5/20/2011,3/21/2011,5/20/2011,4/12/2011,3,5/16/2011,1,Docombine,LiquidityPlus1w,C:\StockPriceWebDownLoading\AlbertDataStation\trunk\HongHui\ExpandData\IF0000\5m\IF1105-20100416TickExpand300SKline.csv,20100416,yyyyMMdd
IF1106,"traded,liquid",6/17/2011,10/18/2010,6/17/2011,5/17/2011,3,6/13/2011,1,Docombine,LiquidityPlus1w,C:\StockPriceWebDownLoading\AlbertDataStation\trunk\HongHui\ExpandData\IF0000\5m\IF1106-20100416TickExpand300SKline.csv,20100416,yyyyMMdd
IF1107,"traded,liquid",7/15/2011,5/23/2011,7/15/2011,6/14/2011,3,7/11/2011,1,Docombine,LiquidityPlus1w,C:\StockPriceWebDownLoading\AlbertDataStation\trunk\HongHui\ExpandData\IF0000\5m\IF1107-20100416TickExpand300SKline.csv,20100416,yyyyMMdd
IF1108,"traded,liquid",8/19/2011,6/20/2011,8/19/2011,7/12/2011,3,8/15/2011,1,Docombine,LiquidityPlus1w,C:\StockPriceWebDownLoading\AlbertDataStation\trunk\HongHui\ExpandData\IF0000\5m\IF1108-20100416TickExpand300SKline.csv,20100416,yyyyMMdd
IF1109,"traded,liquid",9/16/2011,1/24/2011,9/16/2011,8/16/2011,3,9/12/2011,1,Docombine,LiquidityPlus1w,C:\StockPriceWebDownLoading\AlbertDataStation\trunk\HongHui\ExpandData\IF0000\5m\IF1109-20100416TickExpand300SKline.csv,20100416,yyyyMMdd
IF1110,"traded,liquid",10/21/2011,8/22/2011,10/21/2011,9/13/2011,3,10/17/2011,1,Docombine,LiquidityPlus1w,C:\StockPriceWebDownLoading\AlbertDataStation\trunk\HongHui\ExpandData\IF0000\5m\IF1110-20100416TickExpand300SKline.csv,20100416,yyyyMMdd
IF1111,"traded,liquid",11/18/2011,9/19/2011,11/18/2011,10/18/2011,3,11/14/2011,1,Docombine,LiquidityPlus1w,C:\StockPriceWebDownLoading\AlbertDataStation\trunk\HongHui\ExpandData\IF0000\5m\IF1111-20100416TickExpand300SKline.csv,20100416,yyyyMMdd
