time,trade,size,ask,os,bid,bs
91400,3450.000000,187,3456.000000,2,3443.000000,6
91500,3456.000000,3,3458.000000,6,3456.000000,1
91501,3456.000000,1,3452.000000,1,3451.800000,2
91501,3453.800000,4,3455.000000,1,3451.800000,2
91502,3453.000000,4,3453.000000,1,3451.800000,2
91502,3455.000000,2,3458.000000,4,3452.000000,2
91503,3455.000000,3,3458.000000,4,3452.000000,2
91504,3458.000000,5,3460.000000,7,3458.000000,45
91504,3458.000000,10,3459.000000,2,3458.000000,41
91505,3460.000000,10,3462.000000,2,3460.000000,1
91505,3460.000000,1,3462.000000,2,3460.400000,3
91506,3462.000000,2,3465.000000,3,3462.400000,2
91507,3465.000000,3,3465.000000,1,3463.000000,2
91508,3465.000000,1,3466.000000,12,3463.000000,7
91508,3463.000000,1,3466.000000,12,3465.000000,1
91509,3466.000000,2,3465.600000,1,3465.000000,1
91509,3468.000000,14,3468.000000,20,3466.000000,23
91510,3466.000000,2,3468.000000,20,3466.000000,21
91510,3466.000000,1,3468.000000,20,3466.000000,20
91511,3468.000000,3,3468.000000,18,3466.000000,18
91511,3466.000000,1,3468.000000,18,3466.000000,17
91512,3466.000000,2,3468.000000,18,3466.200000,1
91512,3468.000000,1,3468.000000,17,3466.200000,1
91513,3468.000000,2,3468.000000,16,3466.000000,16
91513,3468.000000,5,3468.000000,13,3466.000000,15
91514,3468.000000,5,3468.000000,8,3466.000000,15
91514,3468.000000,2,3467.600000,1,3466.200000,1
91515,3468.000000,7,3468.000000,2,3466.000000,15
91515,3467.600000,3,3467.600000,2,3466.000000,14
91516,3466.000000,3,3467.000000,1,3466.000000,13
91516,3467.000000,1,3467.600000,1,3466.000000,13
91517,3466.000000,1,3467.000000,1,3466.000000,13
91518,3467.000000,3,3467.600000,1,3467.000000,2
91519,3468.000000,2,3470.000000,1,3468.000000,1
91519,3468.000000,1,3470.000000,1,3467.000000,5
91520,3467.000000,3,3470.000000,1,3467.000000,2
91520,3470.000000,2,3474.000000,1,3470.000000,2
91521,3470.000000,1,3474.000000,1,3470.000000,6
91521,3474.000000,3,3477.800000,1,3470.200000,1
91524,3477.800000,1,3478.000000,9,3476.000000,1
91524,3478.000000,2,3478.000000,8,3476.400000,3
91525,3478.000000,1,3478.000000,7,3477.800000,3
91525,3478.000000,6,3478.000000,4,3477.800000,1
91526,3478.000000,3,3478.000000,1,3477.800000,2
91526,3478.000000,1,3479.000000,1,3478.200000,3
91527,3478.000000,1,3479.000000,1,3478.200000,2
91527,3478.000000,1,3479.000000,1,3478.400000,3
91528,3478.400000,3,3480.000000,5,3479.600000,1
91529,3478.400000,1,3480.000000,5,3479.000000,3
91529,3480.000000,2,3480.000000,3,3479.800000,1
91530,3480.000000,4,3484.000000,2,3479.800000,1
91530,3484.000000,12,3484.000000,1,3479.000000,2
91531,3480.000000,1,3484.000000,1,3480.000000,2
91531,3484.000000,3,3486.000000,1,3480.000000,2
91532,3484.000000,1,3485.000000,2,3480.000000,4
91532,3480.000000,4,3485.000000,2,3480.200000,1
91533,3480.000000,2,3485.000000,2,3484.000000,4
91533,3485.000000,2,3484.800000,1,3484.000000,4
91534,3485.000000,1,3484.400000,3,3484.000000,4
91535,3484.400000,3,3484.400000,2,3484.000000,4
91535,3485.000000,3,3486.000000,1,3485.000000,1
91536,3486.000000,3,3488.000000,5,3486.600000,1
91537,3486.000000,1,3488.000000,5,3486.800000,6
91538,3488.000000,1,3488.000000,4,3487.400000,3
91538,3488.000000,3,3488.000000,2,3487.600000,5
91539,3488.000000,2,3488.800000,3,3488.000000,1
91539,3488.000000,4,3488.000000,27,3487.600000,5
91540,3487.600000,5,3488.000000,24,3487.600000,3
91540,3488.000000,2,3488.000000,23,3487.600000,3
91541,3486.800000,3,3488.000000,23,3486.000000,1
91541,3488.000000,3,3487.200000,1,3486.000000,2
91542,3486.000000,2,3486.800000,4,3485.000000,1
91543,3485.000000,2,3486.600000,6,3484.800000,3
91543,3484.000000,6,3484.600000,1,3484.000000,1
91544,3484.600000,2,3483.800000,6,3480.000000,7
91544,3484.600000,2,3483.800000,4,3480.000000,7
91545,3477.800000,33,3477.800000,9,3475.000000,2
91545,3479.800000,3,3479.800000,4,3475.000000,2
91546,3475.000000,4,3474.800000,4,3474.000000,1
91548,3474.000000,3,3474.000000,31,3472.200000,5
91548,3474.000000,1,3474.000000,30,3472.200000,5
91549,3472.200000,5,3471.600000,2,3470.000000,2
91549,3470.000000,3,3471.600000,1,3468.400000,1
91550,3468.400000,3,3468.200000,1,3467.600000,1
91550,3471.400000,4,3468.000000,2,3467.600000,1
91551,3471.400000,3,3470.000000,3,3468.000000,1
91551,3468.000000,1,3470.000000,3,3467.600000,1
91552,3467.600000,1,3469.800000,3,3467.000000,2
91553,3469.800000,1,3469.800000,2,3467.000000,2
91554,3467.200000,3,3467.600000,1,3467.000000,2
91555,3467.600000,1,3469.800000,2,3467.600000,10
91555,3467.600000,3,3469.800000,2,3467.600000,7
91556,3467.600000,1,3469.800000,2,3467.600000,6
91556,3467.600000,1,3469.800000,2,3467.600000,7
91557,3467.600000,1,3469.800000,2,3467.600000,7
91557,3469.800000,5,3470.000000,24,3467.600000,5
91558,3468.000000,2,3468.000000,1,3467.600000,4
91558,3468.000000,1,3470.000000,24,3467.600000,4
91559,3470.000000,1,3470.000000,23,3468.000000,2
91600,3468.000000,1,3469.800000,2,3468.000000,1
91600,3469.800000,3,3469.000000,5,3467.600000,3
91602,3469.000000,6,3469.000000,1,3467.600000,3
91603,3469.800000,3,3470.000000,23,3467.800000,2
91603,3470.000000,12,3470.000000,13,3467.600000,3
91604,3470.000000,3,3470.000000,10,3467.600000,3
91605,3470.000000,7,3470.000000,3,3467.600000,3
91605,3467.600000,1,3470.000000,3,3467.600000,2
91606,3470.000000,1,3470.000000,2,3469.800000,1
91606,3469.800000,2,3470.000000,1,3469.800000,2
91607,3467.600000,6,3469.800000,1,3467.600000,1
91607,3467.600000,1,3469.800000,1,3468.000000,1
91608,3468.000000,3,3473.800000,3,3470.000000,2
91609,3473.800000,3,3473.800000,1,3470.200000,2
91610,3471.000000,1,3473.800000,1,3471.000000,4
91610,3471.000000,2,3473.800000,2,3471.000000,2
91611,3470.200000,3,3473.800000,2,3470.200000,1
91612,3470.000000,2,3472.800000,1,3470.000000,3
91612,3472.800000,1,3473.800000,2,3470.000000,4
91614,3470.200000,3,3472.200000,1,3470.200000,2
91615,3472.600000,2,3472.600000,1,3470.600000,1
91616,3472.600000,1,3473.800000,1,3472.600000,1
91616,3473.000000,2,3473.000000,19,3472.600000,1
91617,3473.000000,4,3472.800000,1,3472.600000,1
91618,3472.600000,1,3472.800000,1,3472.200000,2
91618,3472.400000,3,3472.800000,3,3472.400000,2
91619,3472.400000,6,3472.400000,1,3472.200000,1
91619,3471.200000,2,3472.400000,1,3470.600000,1
91620,3472.400000,2,3472.800000,1,3470.400000,1
91621,3470.200000,2,3472.600000,1,3470.400000,1
91621,3472.600000,1,3472.800000,2,3470.400000,1
91622,3472.000000,1,3472.400000,1,3472.000000,2
91622,3470.200000,6,3472.200000,1,3470.000000,2
91623,3472.200000,2,3472.400000,1,3470.000000,1
91623,3473.000000,4,3473.000000,17,3472.600000,1
91624,3470.200000,2,3473.000000,17,3470.200000,1
91624,3470.200000,1,3473.000000,18,3470.000000,1
91625,3470.400000,5,3472.200000,4,3470.000000,1
91625,3472.200000,4,3472.200000,1,3470.400000,1
91626,3472.200000,1,3471.000000,1,3470.400000,1
91626,3470.400000,2,3472.600000,1,3470.400000,1
91627,3473.000000,3,3472.400000,3,3472.200000,42
91627,3472.200000,6,3472.400000,3,3472.200000,36
91628,3472.400000,1,3472.400000,2,3472.200000,36
91628,3472.400000,4,3472.800000,1,3472.400000,2
91629,3472.400000,1,3472.800000,1,3472.600000,3
