Date,Time,Side,xSize,xPrice
20160315,142607,BUY,1,2.089
20160315,144010,SELL,1,2.087
20160317,93908,BUY,1,2.137
20160317,101809,SELL,1,2.127
20160317,133010,BUY,1,2.14
20160318,92633,SELL,1,2.135
20160318,103207,BUY,1,2.156
20160321,92633,SELL,1,2.158
20160321,95708,BUY,1,2.179
20160322,92635,SELL,1,2.185
20160322,95608,BUY,1,2.184
20160323,92640,SELL,1,2.164
20160323,144806,BUY,1,2.174
20160324,92547,SELL,1,2.16
20160324,133205,BUY,1,2.157
20160325,92632,SELL,1,2.138
20160325,133709,BUY,1,2.151
20160328,100407,SELL,1,2.154
20160329,105905,BUY,1,2.124
20160329,110011,SELL,1,2.121
20160330,94705,BUY,1,2.136
20160330,110507,SELL,1,2.132
20160330,135006,BUY,1,2.144
20160401,100706,SELL,1,2.145
20160401,140408,BUY,1,2.156
20160405,93013,SELL,1,2.155
20160405,112307,BUY,1,2.168
20160406,93012,SELL,1,2.164
20160406,133013,BUY,1,2.168
20160407,95106,SELL,1,2.162
20160407,142008,BUY,1,2.151
20160408,92553,SELL,1,2.128
20160408,133206,BUY,1,2.13
20160411,133904,SELL,1,2.152
20160413,93405,BUY,1,2.16
20160413,142107,SELL,1,2.183
20160414,145207,BUY,1,2.174
20160414,145307,SELL,1,2.174
20160415,135008,BUY,1,2.182
20160418,93011,SELL,1,2.16
20160418,131205,BUY,1,2.159
20160419,92639,SELL,1,2.166
20160419,93505,BUY,1,2.167
20160420,104514,SELL,1,2.156
20160420,145509,BUY,1,2.144
20160421,93011,SELL,1,2.135
20160422,110406,BUY,1,2.152
20160422,110507,SELL,1,2.152
20160422,131111,BUY,1,2.153
20160425,93109,SELL,1,2.145
20160425,131309,BUY,1,2.146
20160426,102019,SELL,1,2.144
20160426,145110,BUY,1,2.148
20160427,144610,SELL,1,2.142
20160428,102509,BUY,1,2.153
20160428,112307,SELL,1,2.141
20160429,92539,BUY,1,2.133
20160503,93606,SELL,1,2.13
20160503,102309,BUY,1,2.159
20160504,93009,SELL,1,2.153
20160504,135705,BUY,1,2.153
20160505,94013,SELL,1,2.144
20160505,135821,BUY,1,2.148
20160506,104910,SELL,1,2.138
20160510,112307,BUY,1,2.075
20160510,112407,SELL,1,2.074
20160511,112207,BUY,1,2.079
20160512,93005,SELL,1,2.066
20160512,111320,BUY,1,2.077
20160513,93006,SELL,1,2.075
20160513,102810,BUY,1,2.087
20160516,93011,SELL,1,2.076
20160516,111222,BUY,1,2.08
20160517,105824,SELL,1,2.072
20160517,140307,BUY,1,2.082
20160518,93007,SELL,1,2.071
20160518,142106,BUY,1,2.064
20160519,143708,SELL,1,2.074
20160520,103917,BUY,1,2.08
20160523,133212,SELL,1,2.085
20160524,142108,BUY,1,2.071
20160524,142208,SELL,1,2.07
20160526,95319,BUY,1,2.077
20160526,95408,SELL,1,2.074
20160526,135911,BUY,1,2.071
20160530,93504,SELL,1,2.07
20160530,105207,BUY,1,2.083
20160531,110105,SELL,1,2.14
20160602,143712,BUY,1,2.137
20160602,143807,SELL,1,2.136
20160603,131107,BUY,1,2.15
20160606,100705,SELL,1,2.144
20160607,94505,BUY,1,2.147
20160608,95208,SELL,1,2.135
20160608,132706,BUY,1,2.138
20160613,102006,SELL,1,2.124
20160614,112942,BUY,1,2.095
20160614,130012,SELL,1,2.094
20160615,104708,BUY,1,2.104
20160615,133614,SELL,1,2.107
20160616,131854,BUY,1,2.106
20160616,133611,SELL,1,2.105
20160617,95111,BUY,1,2.121
20160617,134307,SELL,1,2.111
20160620,132315,BUY,1,2.111
20160621,101705,SELL,1,2.125
20160622,110006,BUY,1,2.119
20160622,141104,SELL,1,2.117
20160623,144709,BUY,1,2.116
20160624,93009,SELL,1,2.111
20160624,143607,BUY,1,2.101
20160627,92642,SELL,1,2.089
20160627,94809,BUY,1,2.097
20160628,104208,SELL,1,2.099
20160628,132609,BUY,1,2.108
20160706,93013,SELL,1,2.175
20160706,131112,BUY,1,2.177
20160708,93908,SELL,1,2.18
20160708,140814,BUY,1,2.185
20160711,144506,SELL,1,2.193
20160712,102312,BUY,1,2.209
20160712,110008,SELL,1,2.196
20160712,140005,BUY,1,2.212
20160713,95608,SELL,1,2.247
20160713,134804,BUY,1,2.247
20160714,92634,SELL,1,2.236
20160714,135605,BUY,1,2.232
20160718,101506,SELL,1,2.231
20160718,134205,BUY,1,2.237
20160719,93013,SELL,1,2.228
20160720,93413,BUY,1,2.217
20160720,93509,SELL,1,2.216
20160720,133812,BUY,1,2.216
20160722,94605,SELL,1,2.213
20160725,103710,BUY,1,2.207
20160725,133638,SELL,1,2.203
20160726,95908,BUY,1,2.215
20160727,112116,SELL,1,2.219
20160728,94104,BUY,1,2.206
20160728,94305,SELL,1,2.204
20160728,132905,BUY,1,2.209
20160729,105406,SELL,1,2.203
20160801,142417,BUY,1,2.19
20160801,142512,SELL,1,2.19
20160802,145310,BUY,1,2.19
20160803,93529,SELL,1,2.181
20160803,100208,BUY,1,2.193
20160804,100008,SELL,1,2.175
20160804,133232,BUY,1,2.183
20160808,93409,SELL,1,2.19
20160808,110849,BUY,1,2.196
20160811,100708,SELL,1,2.241
20160811,135507,BUY,1,2.243
20160812,92641,SELL,1,2.223
20160812,110010,BUY,1,2.239
20160815,102206,SELL,1,2.301
20160817,135009,BUY,1,2.304
20160817,135109,SELL,1,2.304
20160818,130207,BUY,1,2.312
20160818,132305,SELL,1,2.305
20160819,134715,BUY,1,2.29
20160819,134810,SELL,1,2.289
20160822,140313,BUY,1,2.295
20160822,142211,SELL,1,2.29
20160823,101711,BUY,1,2.3
20160823,134114,SELL,1,2.291
20160824,141808,BUY,1,2.283
20160824,141929,SELL,1,2.282
20160825,140906,BUY,1,2.266
20160825,141006,SELL,1,2.265
20160829,112523,BUY,1,2.266
20160829,112608,SELL,1,2.265
20160829,145906,BUY,1,2.266
20160901,110306,SELL,1,2.276
20160901,142116,BUY,1,2.283
20160902,92640,SELL,1,2.267
20160902,111311,BUY,1,2.271
20160905,111712,SELL,1,2.281
20160906,131315,BUY,1,2.278
20160908,112517,SELL,1,2.285
20160908,135315,BUY,1,2.29
20160912,92640,SELL,1,2.247
20160912,145308,BUY,1,2.243
20160913,101105,SELL,1,2.242
